District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Araria,1.1,Total number of pregnant women Registered for ANC,TOTAL,8914,8832,7572,7089,7481,7209,7107,5574,6093,6692,7137,7908,87608
Araria,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,5004,4726,4119,3801,3801,3693,3790,3019,3349,4012,4310,4601,48225
Araria,1.2,Number of Pregnant women registered under JSY,TOTAL,8914,8832,7572,7076,7481,7100,7101,5486,6055,6589,7056,7878,87140
Araria,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,3895,4090,4099,4232,4534,4672,4622,3950,4211,4637,4567,4329,51838
Araria,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,6190,6032,5332,4918,5010,5049,4805,3828,4049,4564,4872,5482,60131
Araria,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,6894,8336,7136,6816,7590,6009,6466,5444,5392,5985,5991,6700,78759
Araria,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,6705,6838,6372,5254,8407,5366,4951,4051,4682,4933,5731,6647,69937
Araria,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,17,149,424,220,211,82,35,109,69,90,13,29,1448
Araria,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,6,5,12,3,13,18,4,5,6,22,7,5,106
Araria,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1996,1773,1843,1688,3237,2692,1437,759,870,790,878,815,18778
Araria,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,760,383,404,396,633,594,162,1,1,2,5,1,3342
Araria,1.8,Number of pregnancy test kits used at SC level,TOTAL,515,392,409,173,379,67,64,52,33,95,172,240,2591
Araria,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,145,157,93,132,122,129,132,124,129,117,145,66,1491
Araria,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,1427,1394,1291,1334,1506,1779,2115,1902,1923,1718,1708,1524,19621
