District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Alappuzha,1.1,Total number of pregnant women Registered for ANC,TOTAL,2166,2328,2076,2001,1927,2489,2880,2130,2097,2256,2129,1887,26366
Alappuzha,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1873,1916,1633,1637,1634,1905,2241,1796,1743,1840,1784,1585,21587
Alappuzha,1.2,Number of Pregnant women registered under JSY,TOTAL,1561,1637,1408,1479,1368,1595,1763,1494,1335,1557,1500,1280,17977
Alappuzha,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1890,2009,1977,1993,1888,2249,2264,2056,2057,2055,2033,2064,24535
Alappuzha,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1765,1770,1633,1666,1627,1770,1990,1859,1757,1748,1695,1639,20919
Alappuzha,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1686,1737,1831,1667,1587,1676,1869,1770,1789,1672,1608,1585,20477
Alappuzha,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,2317,2236,2273,2539,2355,2572,2834,2313,2441,2622,2943,2394,29839
Alappuzha,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,86,109,103,109,58,86,110,350,128,78,82,118,1417
Alappuzha,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0,0,0,1,2,2,0,1,4,0,0,1,11
Alappuzha,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,210,220,270,246,229,215,237,205,284,247,314,461,3138
Alappuzha,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,1,15,7,8,2,5,5,4,3,1,5,0,56
Alappuzha,1.8,Number of pregnancy test kits used at SC level,TOTAL,388,644,743,747,997,997,1146,960,1159,1002,938,1122,10843
Alappuzha,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0,0,1,0,0,0,0,0,0,1,1,1,4
Alappuzha,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,0,0,0,1,1,1,0,1,0,1,0,1,6
Alappuzha,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,0,0,1,1,1,1,0,1,0,2,1,2,10
Alappuzha,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,0,0,1,1,0,1,0,0,0,2,1,2,8
Alappuzha,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1011,978,942,805,802,853,999,896,810,740,670,794,10300
Alappuzha,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,0,0,0,0,0,0,0,2,161,0,1,0,164
Alappuzha,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,201,319,290,229,138,256,309,210,514,200,387,1280,4333
Alappuzha,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,78,12,79,1,4,4,3,4,116,35,5,2,343
Alappuzha,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,809,821,805,740,684,775,846,804,715,677,710,677,9063
Alappuzha,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0
Alappuzha,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0
Alappuzha,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0
Alappuzha,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,469,458,454,403,390,405,480,425,372,374,296,379,4905
Alappuzha,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,469,458,454,403,390,405,480,425,372,374,296,379,4905
Alappuzha,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,432,446,441,411,410,429,490,465,397,384,384,378,5067
Alappuzha,4.1.1.a,Number of male live births,TOTAL,940,932,893,811,781,820,937,849,814,736,708,754,9975
Alappuzha,4.1.1.b,Number of female live births,TOTAL,894,875,871,745,718,816,917,864,722,686,685,726,9519
Alappuzha,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,1834,1807,1764,1556,1499,1636,1854,1713,1536,1422,1393,1480,19494
Alappuzha,4.1.2,Number of still births,TOTAL,2,1,1,3,0,0,4,1,4,4,0,2,22
Alappuzha,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,78,81,53,67,49,64,96,59,86,63,60,89,845
Alappuzha,4.2.1,Number of Newborns weighed at birth,TOTAL,1834,1807,1764,1556,1499,1636,1854,1713,1536,1422,1393,1415,19429
Alappuzha,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,159,179,404,174,165,159,187,145,135,133,123,138,2101
Alappuzha,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,1794,1807,1749,1500,1292,1543,1556,1709,1536,1422,1387,1389,18684
Alappuzha,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,89,120,124,19,130,139,187,135,156,161,111,201,1572
Alappuzha,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,89,120,124,19,130,139,187,135,156,161,111,201,1572
Alappuzha,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,16,36,28,35,38,53,117,122,89,54,67,49,704
Alappuzha,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,100,139,136,50,151,175,286,246,135,211,168,232,2029
Alappuzha,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,0,1,0,3,1,3,7,4,5,4,11,9,48
Alappuzha,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,0,61,9,0,21,4,106,99,89,51,0,71,511
Alappuzha,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,6,18,18,14,18,16,13,14,6,3,10,20,156
