District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Ahmednagar,1.1,Total number of pregnant women Registered for ANC,TOTAL,7017,6002,6578,6280,6191,6443,6078,5885,6755,7497,7721,7002,79449
Ahmednagar,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,5499,4704,5094,4997,4872,4997,4797,4675,5384,5984,6154,5481,62638
Ahmednagar,1.2,Number of Pregnant women registered under JSY,TOTAL,1928,1694,1871,1697,1722,1781,1567,1500,1764,2256,2094,1927,21801
Ahmednagar,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,6160,6027,6260,5622,6506,5931,5118,5549,5570,5726,6678,6887,72034
Ahmednagar,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,4230,3680,4060,3813,4017,3843,3612,3676,3944,4345,4718,3958,47896
Ahmednagar,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,5948,5560,5610,5658,6025,5950,5762,5846,6277,6038,6469,6574,71717
Ahmednagar,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,4203,4313,4688,4331,4106,4129,3213,3310,3654,4102,4577,4703,49329
Ahmednagar,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,39,43,36,61,100,41,38,36,69,19,73,18,573
Ahmednagar,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0,0,1,0,0,2,5,3,0,5,6,2,24
Ahmednagar,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,5868,5619,5919,5664,6004,5807,5311,5273,5856,6411,6395,6194,70321
Ahmednagar,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,6,0,20,17,44,33,19,24,19,2,17,23,224
Ahmednagar,1.8,Number of pregnancy test kits used at SC level,TOTAL,1550,1518,1820,1724,1763,1781,1692,1623,1824,1925,2037,2004,21261
Ahmednagar,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,16,12,18,25,17,17,18,8,18,13,7,13,182
Ahmednagar,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,4,7,4,1,6,5,6,2,2,5,5,7,54
Ahmednagar,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,20,19,22,26,23,22,24,10,20,18,12,20,236
Ahmednagar,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,14,17,18,24,17,13,18,5,13,15,8,17,179
Ahmednagar,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,8,8,21,17,12,7,14,6,11,5,19,9,137
Ahmednagar,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,2738,2742,2596,2250,2384,2346,2304,2281,2250,1896,1795,1994,27576
Ahmednagar,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,456,590,387,638,462,745,422,768,386,327,654,330,6165
Ahmednagar,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,375,362,391,379,404,335,243,271,356,538,505,651,4810
Ahmednagar,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,788,800,816,812,873,761,752,773,708,802,792,847,9524
Ahmednagar,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
Ahmednagar,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,3493,3867,3853,4110,4407,4858,4334,4709,4386,4117,3895,4165,50194
Ahmednagar,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,287,309,211,230,225,206,163,201,229,237,241,276,2815
Ahmednagar,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,49,62,84,67,52,66,39,12,21,47,30,28,557
Ahmednagar,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0
Ahmednagar,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,6,4,10,5,7,14,1,4,8,12,1,4,76
Ahmednagar,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,305,281,296,302,318,307,277,301,270,346,236,254,3493
Ahmednagar,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,311,285,306,307,325,321,278,305,278,358,237,258,3569
Ahmednagar,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,198,298,246,544,638,751,562,599,793,485,557,4702,10373
Ahmednagar,4.1.1.a,Number of male live births,TOTAL,3292,3459,3422,3371,3608,3785,3528,3643,3471,3182,2995,3217,40973
Ahmednagar,4.1.1.b,Number of female live births,TOTAL,2900,3111,2996,3121,3156,3400,3105,3299,3168,2803,2681,2924,36664
Ahmednagar,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,6192,6570,6418,6492,6764,7185,6633,6942,6639,5985,5676,6141,77637
Ahmednagar,4.1.2,Number of still births,TOTAL,59,58,53,59,54,45,31,58,42,47,26,39,571
Ahmednagar,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,789,714,655,673,633,611,566,539,813,620,801,920,8334
Ahmednagar,4.2.1,Number of Newborns weighed at birth,TOTAL,6159,6553,6369,6373,6760,7176,6608,6913,6602,5980,5653,6090,77236
Ahmednagar,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,462,417,436,478,604,775,560,511,569,429,420,443,6104
Ahmednagar,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,6041,6504,6371,6349,6738,7136,6601,6893,6476,5965,5628,5967,76669
Ahmednagar,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,20,99,20,32,17,23,5,9,7,6,2,16,256
Ahmednagar,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,15,15,0,11,22,11,6,14,14,7,16,26,157
Ahmednagar,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,153,282,194,153,161,206,109,185,165,169,140,161,2078
Ahmednagar,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,188,396,214,196,200,240,120,208,186,182,158,203,2491
Ahmednagar,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,71,127,197,208,336,36,184,311,249,219,333,227,2498
Ahmednagar,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,259,523,411,404,536,276,480,519,435,401,491,430,5165
Ahmednagar,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,1,25,14,12,1,18,2,5,27,6,12,8,131
Ahmednagar,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,259,523,411,404,536,276,480,519,435,401,491,430,5165
Ahmednagar,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,75,45,49,38,41,44,104,34,67,79,56,51,683
Ahmednagar,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,3980,4190,3770,4320,4203,4816,4184,4793,4335,4098,3938,3899,50526
Ahmednagar,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,3921,4275,3728,3878,3971,4371,3875,4304,3995,3251,3286,3228,46083
Ahmednagar,6.3,PNC maternal complications attended,TOTAL,60,58,70,34,75,67,10,56,4,60,44,47,585
Ahmednagar,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,227,239,226,114,79,97,105,114,202,181,225,230,2039
Ahmednagar,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,2,0,1,6,7,1,3,1,0,2,3,3,29
Ahmednagar,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,229,239,227,120,86,98,108,115,202,183,228,233,2068
Ahmednagar,7.2,Number of MTPs conducted at Private Facilities,TOTAL,272,292,231,362,334,316,293,292,427,243,375,512,3949
Ahmednagar,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,91,121,101,115,121,133,103,93,121,115,97,78,1289
Ahmednagar,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,243,231,182,273,294,299,232,229,262,241,169,122,2777
Ahmednagar,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,334,352,283,388,415,432,335,322,383,356,266,200,4066
Ahmednagar,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,2,1,5,8,7,1,2,5,4,2,1,5,43
Ahmednagar,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,1,1,3,0,0,0,1,1,0,0,0,7
Ahmednagar,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,0,0,1,0,1,0,0,1,0,0,0,0,3
Ahmednagar,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,2,2,7,11,8,1,2,7,5,2,1,5,53
Ahmednagar,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,1025,2051,701,240,371,194,304,542,108,34,375,498,6443
Ahmednagar,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,2,2,38,72,18,20,23,175
Ahmednagar,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,4,4
Ahmednagar,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,1025,2051,701,240,371,196,306,580,180,52,395,525,6622
